slots,threads,var,value
1024,1,ipc,1.35
1024,1,cachemiss,2.831
1024,1,normtime,25030.425166215224
1024,1,efficiency,1.0
1024,2,ipc,0.67
1024,2,cachemiss,0.094
1024,2,normtime,19474.902613124937
1024,2,efficiency,0.3890246067296363
1024,3,ipc,0.51
1024,3,cachemiss,0.042
1024,3,normtime,17491.31617644748
1024,3,efficiency,0.2329340667114244
1024,4,ipc,0.41
1024,4,cachemiss,0.032
1024,4,normtime,17941.295240973323
1024,4,efficiency,0.17919487106025628
1024,5,ipc,0.34
1024,5,cachemiss,0.037
1024,5,normtime,15160.766979055948
1024,5,efficiency,0.12113870921792547
1024,6,ipc,0.29
1024,6,cachemiss,0.037
1024,6,normtime,14012.4467473998
1024,6,efficiency,0.09330276156816995
1024,7,ipc,0.15
1024,7,cachemiss,49.687
1024,7,normtime,5679.474245300896
1024,7,efficiency,0.03241468965175776
1024,8,ipc,0.13
1024,8,cachemiss,49.291
1024,8,normtime,5099.955542731293
1024,8,efficiency,0.025468782036585966
1024,9,ipc,0.12
1024,9,cachemiss,50.344
1024,9,normtime,4622.514100281823
1024,9,efficiency,0.02051953470220471
1024,10,ipc,0.11
1024,10,cachemiss,49.082
1024,10,normtime,4200.525317532128
1024,10,efficiency,0.01678167785660221
1024,11,ipc,0.1
1024,11,cachemiss,48.742
1024,11,normtime,3860.6640207897362
1024,11,efficiency,0.014021713738572488
1024,12,ipc,0.14
1024,12,cachemiss,48.755
1024,12,normtime,3134.7341109037216
1024,12,efficiency,0.01043641251958844
2048,1,ipc,1.51
2048,1,cachemiss,3.209
2048,1,normtime,44116.60103819632
2048,1,efficiency,1.0
2048,2,ipc,0.79
2048,2,cachemiss,0.101
2048,2,normtime,30300.15827986001
2048,2,efficiency,0.34340993601961783
2048,3,ipc,0.62
2048,3,cachemiss,0.045
2048,3,normtime,28533.235514120068
2048,3,efficiency,0.21558955769217036
2048,4,ipc,0.5
2048,4,cachemiss,0.054
2048,4,normtime,26289.31099207439
